policy,attempted,served,rejected,completion_rate,deadline_hit_rate,latency_p50_ms,latency_p95_ms,latency_p99_ms,mean_cost_per_served,goodput_rps,target_utilisation,arrival_rate_rps,variant_mix
accurate-only,379,378,1,0.9973614775725593,0.9603174603174603,16.271291504381225,34.415521306800656,53.369951426284416,1.0,121.6223868893133,0.4,124.09834794074305,"{""distilbert_fp32"": 378}"
adaptive,379,378,1,0.9973614775725593,0.9788359788359788,15.580062521621585,30.995364213595167,46.166432701284066,1.0,123.96772217368023,0.4,124.09834794074305,"{""distilbert_fp32"": 378, ""minilm_fp32"": 0}"
accurate-only,570,538,32,0.9438596491228071,0.8513011152416357,24.073291511740535,52.97615628223866,68.97315359383354,1.0,153.24019992355582,0.6,186.14752191111455,"{""distilbert_fp32"": 538}"
adaptive,570,569,1,0.9982456140350877,0.8453427065026362,25.132209004368633,53.94602499436587,66.40313503099608,0.9422451669595783,160.9356684786689,0.6,186.14752191111455,"{""distilbert_fp32"": 514, ""minilm_fp32"": 55}"
accurate-only,754,587,167,0.7785145888594165,0.7342419080068143,34.33883300749585,68.28262070193887,78.14763634349218,1.0,143.73929488745725,0.8,248.1966958814861,"{""distilbert_fp32"": 587}"
adaptive,754,753,1,0.9986737400530504,0.8645418326693227,29.149584006518126,52.75683357613161,72.1617448492907,0.7897244355909695,217.10970063047486,0.8,248.1966958814861,"{""distilbert_fp32"": 488, ""minilm_fp32"": 265}"
accurate-only,882,162,720,0.1836734693877551,0.7901234567901234,30.931374960346147,53.295662481104955,71.54280940187158,1.0,42.74713325507278,0.95,294.7335763592647,"{""distilbert_fp32"": 162}"
adaptive,882,881,1,0.9988662131519275,0.9534619750283768,7.3357499786652625,37.63475001323968,53.275908809155254,0.48931044267877416,280.52806198641514,0.95,294.7335763592647,"{""distilbert_fp32"": 128, ""minilm_fp32"": 753}"
accurate-only,1011,25,986,0.024727992087042534,0.88,28.83908402873203,50.33368361182507,52.90554391220212,1.0,7.334068432711268,1.1,341.2704568370434,"{""distilbert_fp32"": 25}"
adaptive,1011,1010,1,0.9990108803165183,0.995049504950495,6.296062463661656,24.451947447960254,32.80018253368325,0.41492326732673274,335.03358067612834,1.1,341.2704568370434,"{""distilbert_fp32"": 21, ""minilm_fp32"": 989}"
accurate-only,1184,5,1179,0.004222972972972973,1.0,17.043667030520737,21.078975219279528,21.65412866510451,1.0,1.6674395718718098,1.3,403.3196308074149,"{""distilbert_fp32"": 5}"
adaptive,1184,1183,1,0.9991554054054054,0.9991546914623838,7.362915959674865,19.00026249932125,26.643067396944392,0.40502535925612854,394.1827147904958,1.3,403.3196308074149,"{""distilbert_fp32"": 5, ""minilm_fp32"": 1178}"
